,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ascensión del Señor,Ascensión del Señor_lower,Ascensión del Señor_upper,Año Nuevo,Año Nuevo_lower,Año Nuevo_upper,Batalla de Boyacá,Batalla de Boyacá_lower,Batalla de Boyacá_upper,Carnaval,Carnaval_lower,Carnaval_upper,Corphus Christi,Corphus Christi_lower,Corphus Christi_upper,Día de Navidad,Día de Navidad_lower,Día de Navidad_upper,Día de San José,Día de San José_lower,Día de San José_upper,Día de la Independencia,Día de la Independencia_lower,Día de la Independencia_upper,Día de la Inmaculada Concepción,Día de la Inmaculada Concepción_lower,Día de la Inmaculada Concepción_upper,Día de la Raza,Día de la Raza_lower,Día de la Raza_upper,Día de los Reyes Magos,Día de los Reyes Magos_lower,Día de los Reyes Magos_upper,Día del Trabajo,Día del Trabajo_lower,Día del Trabajo_upper,Día sin carro,Día sin carro_lower,Día sin carro_upper,Día taxista,Día taxista_lower,Día taxista_upper,Independencia de Cartagena,Independencia de Cartagena_lower,Independencia de Cartagena_upper,Jueves Santo,Jueves Santo_lower,Jueves Santo_upper,La Asunción de la Virgen,La Asunción de la Virgen_lower,La Asunción de la Virgen_upper,Sagrado Corazón de Jesús,Sagrado Corazón de Jesús_lower,Sagrado Corazón de Jesús_upper,San Pedro y San Pablo,San Pedro y San Pablo_lower,San Pedro y San Pablo_upper,Todos los Santos,Todos los Santos_lower,Todos los Santos_upper,Viernes Santo,Viernes Santo_lower,Viernes Santo_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2017-02-06,904.3565956431019,848.8171651656763,1464.7171298332103,904.3565956431019,904.3565956431019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.1671126032838,243.1671126032838,243.1671126032838,0.0,0.0,0.0,-85.63141237468795,-85.63141237468795,-85.63141237468795,328.79852497797174,328.79852497797174,328.79852497797174,0.0,0.0,0.0,1147.5237082463857
1,2017-02-07,931.7295128238507,773.1443590582923,1397.9672820673895,931.7295128238507,931.7295128238507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5834728623983,159.5834728623983,159.5834728623983,0.0,0.0,0.0,-147.69092420967408,-147.69092420967408,-147.69092420967408,307.27439707207236,307.27439707207236,307.27439707207236,0.0,0.0,0.0,1091.312985686249
2,2017-02-08,959.1024300045998,794.3881458361086,1399.6744237023647,959.1024300045997,959.1024300045997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.07856753349796,157.07856753349796,157.07856753349796,0.0,0.0,0.0,-128.99207060110754,-128.99207060110754,-128.99207060110754,286.07063813460553,286.07063813460553,286.07063813460553,0.0,0.0,0.0,1116.1809975380977
3,2017-02-09,986.4753471853486,890.9654863679483,1527.2744490148013,986.4753471853486,986.4753471853486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.07833898978603,228.07833898978603,228.07833898978603,0.0,0.0,0.0,-37.398924284128,-37.398924284128,-37.398924284128,265.47726327391405,265.47726327391405,265.47726327391405,0.0,0.0,0.0,1214.5536861751345
4,2017-02-10,1013.8482643660977,1168.3085688589795,1807.8023832888125,1013.8482643660977,1013.8482643660977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.75811137724105,483.75811137724105,483.75811137724105,0.0,0.0,0.0,238.00000794379318,238.00000794379318,238.00000794379318,245.75810343344793,245.75810343344793,245.75810343344793,0.0,0.0,0.0,1497.6063757433387
5,2017-02-11,1041.2211815468465,1244.8906510170889,1840.1914509728215,1041.2211815468465,1041.2211815468465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.33643746811333,502.33643746811333,502.33643746811333,0.0,0.0,0.0,275.19314373379655,275.19314373379655,275.19314373379655,227.14329373431673,227.14329373431673,227.14329373431673,0.0,0.0,0.0,1543.55761901496
6,2017-02-12,1068.5940987275956,871.2363239981516,1477.8386657205413,1068.5940987275956,1068.5940987275956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.34297893616963,96.34297893616963,96.34297893616963,0.0,0.0,0.0,-113.47982020757618,-113.47982020757618,-113.47982020757618,209.8227991437458,209.8227991437458,209.8227991437458,0.0,0.0,0.0,1164.9370776637652
7,2017-02-13,1095.9670159083446,887.8374878070322,1509.6208556152278,1095.9670159083446,1095.9670159083446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.30972845868173,108.30972845868173,108.30972845868173,0.0,0.0,0.0,-85.63141237473839,-85.63141237473839,-85.63141237473839,193.94114083342012,193.94114083342012,193.94114083342012,0.0,0.0,0.0,1204.2767443670264
8,2017-02-14,1123.3399330890936,850.0953362472726,1451.8805081892242,1123.3399330890936,1123.3399330890936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.902527055936247,31.902527055936247,31.902527055936247,0.0,0.0,0.0,-147.6909242098709,-147.6909242098709,-147.6909242098709,179.59345126580715,179.59345126580715,179.59345126580715,0.0,0.0,0.0,1155.2424601450298
9,2017-02-15,1150.7128502698424,877.8623854550386,1480.8531114142916,1150.7128502698424,1150.7128502698424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.83087705173691,37.83087705173691,37.83087705173691,0.0,0.0,0.0,-128.99207060120924,-128.99207060120924,-128.99207060120924,166.82294765294614,166.82294765294614,166.82294765294614,0.0,0.0,0.0,1188.5437273215794
